StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q24,Q25,Q34,Q26,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Are you inclined to keep in the background on social occasions?,Do you like to mix socially with people?,"Do you sometimes feel happy, sometimes depressed, without any apparent reason?",Are you inclined to limit your acquantances to a select few?,Do you like to have many social engagements?,"Do you have frequent ups and downs in mood, either with or without apparent cause?",Would you rate yourself as a happy-go-lucky individual?,Can you usually let yourself go and have a good time at a party?,Are you inclined to be moody?,Would you be very unhappy if you were prevented from making numerous social contacts?,Do you usually take the initiative in making new friends?,Does your mind often wander while you are trying to concentrate?,Do you like to play pranks upon others?,"Are you usually a ""good mixer""?",Are you sometimes bubbling over with energy and sometimes very sluggish?,"Do you often ""have the time of your life"" at social affairs?","Are you frequently ""lost in thought"" even when you should be taking part in a conversation ?",Do you derive more satisfaction from social activities than from anything else?,How likely are you to purchase this popcorn?,How likely are you to purchase this popcorn?,How likely are you to purchase this popcorn?,How likely are you to purchase this popcorn?,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID34""}","{""ImportId"":""QID26""}","{""ImportId"":""PROLIFIC_PID""}"
2023-02-21 20:18:29,2023-02-21 20:20:28,Survey Preview,,100,118,True,2023-02-21 20:20:29,R_1Yo2BN0lVu2HJBf,,,,,42.055,-87.6951,preview,EN,Yes,Yes,Yes,Yes,Undecided,Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,,Somewhat likely,,,
2023-02-21 20:18:03,2023-02-21 20:20:44,Survey Preview,,100,160,True,2023-02-21 20:20:46,R_12uwB1qi75wz7pP,,,,,42.055,-87.6951,preview,EN,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Undecided,Undecided,Somewhat unlikely,,,,
2023-02-21 20:18:12,2023-02-21 20:20:47,Survey Preview,,100,155,True,2023-02-21 20:20:48,R_2CO1w9djS0nXwWE,,,,,42.0311,-87.6858,preview,EN,Yes,Yes,Undecided,Yes,Yes,No,Undecided,Undecided,No,Undecided,No,Undecided,No,Yes,No,Undecided,Undecided,No,,,,Somewhat unlikely,
2023-02-21 20:29:49,2023-02-21 20:30:19,Survey Preview,,100,30,True,2023-02-21 20:30:20,R_6YjJAIysRkCDdXr,,,,,42.055,-87.6951,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21 20:30:19,2023-02-21 20:30:59,Survey Preview,,100,39,True,2023-02-21 20:31:00,R_TvCxUpEzL39Amk1,,,,,42.055,-87.6951,preview,EN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,Yes,Yes,Yes,,,,,
2023-02-21 20:38:34,2023-02-21 20:38:45,Survey Preview,,100,11,True,2023-02-21 20:38:45,R_2Bhejd2BC1oGID1,,,,,42.055,-87.6951,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21 20:39:40,2023-02-21 20:40:06,Survey Preview,,100,25,True,2023-02-21 20:40:06,R_1dBtdsQJ5WInGWo,,,,,42.0311,-87.6858,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-02-21 20:40:24,2023-02-21 20:40:41,Survey Preview,,100,17,True,2023-02-21 20:40:42,R_10qrTQna0GBkvss,,,,,42.055,-87.6951,preview,EN,,,,,,,,,,,,,,,,,,,,,,,
2023-02-22 12:48:37,2023-02-22 12:48:47,IP Address,165.124.85.54,100,10,True,2023-02-22 12:48:48,R_2S1XFCdSQn2hMsJ,,,,,42.055,-87.6951,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,63f581228431788fb48d2342
2023-02-22 13:06:12,2023-02-22 13:07:17,IP Address,35.132.244.250,100,64,True,2023-02-22 13:07:17,R_25BB05XkpzujGcF,,,,,35.6854,-88.8281,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,No,Yes,No,Yes,Undecided,Yes,Yes,Yes,Yes,Yes,Somewhat likely,,,,60fd8dc2b12af8c3af8091eb
2023-02-22 13:09:28,2023-02-22 13:10:55,IP Address,205.178.124.99,100,87,True,2023-02-22 13:10:56,R_cRYLsclupSk9bwt,,,,,41.8482,-87.6521,anonymous,EN,Undecided,Undecided,Yes,No,Undecided,Yes,Yes,Yes,Undecided,Yes,No,Yes,No,Undecided,Yes,Undecided,Yes,Undecided,,,,Neither likely nor unlikely,5f6d0c1efaad4d16c44fdd6d
2023-02-22 13:07:53,2023-02-22 13:11:32,IP Address,174.238.49.232,100,218,True,2023-02-22 13:11:33,R_2TAcFXquTJx1Qc9,,,,,39.8291,-86.0859,anonymous,EN,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,,Somewhat likely,,,6298ab96c034938f22451149
2023-02-22 13:11:09,2023-02-22 13:11:57,IP Address,172.56.36.202,100,47,True,2023-02-22 13:11:58,R_2YWduAfyDUqDgp7,,,,,40.7643,-74.148,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,,,Extremely likely,,610f0a65e39ea57ec04adec5
2023-02-22 13:13:17,2023-02-22 13:14:06,IP Address,73.68.82.237,100,48,True,2023-02-22 13:14:06,R_8B114a6aCknaHUB,,,,,41.3625,-72.0449,anonymous,EN,Undecided,Yes,Yes,Yes,Undecided,Yes,Yes,No,Yes,Yes,Undecided,Yes,No,No,Yes,Undecided,Yes,No,,Somewhat likely,,,60fa5b25a5a4f10f086e14b3
2023-02-22 13:17:18,2023-02-22 13:18:59,IP Address,96.66.123.37,100,101,True,2023-02-22 13:19:00,R_qxYTS4kMpAVIVI5,,,,,34.9007,-90.0111,anonymous,EN,Yes,Undecided,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,Undecided,Yes,No,Neither likely nor unlikely,,,,5e2a4ad0e8a5c40ab6f047c5
2023-02-22 13:21:37,2023-02-22 13:22:41,IP Address,69.113.80.170,100,64,True,2023-02-22 13:22:42,R_2dnGiqkeoyLq2ps,,,,,40.5802,-74.3594,anonymous,EN,No,Yes,Yes,Yes,No,No,No,Undecided,Undecided,Yes,No,Yes,No,Undecided,No,No,No,No,,,,Neither likely nor unlikely,63edb6401c8f280841255a82
2023-02-22 13:26:32,2023-02-22 13:27:36,IP Address,73.147.144.31,100,63,True,2023-02-22 13:27:37,R_1kYrTCaf7jCq7Uv,,,,,38.4475,-78.8693,anonymous,EN,No,Yes,Yes,Undecided,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,,Somewhat unlikely,,63e5614a5e100cf1fa348a81
2023-02-22 13:24:18,2023-02-22 13:28:52,IP Address,107.195.185.236,100,274,True,2023-02-22 13:28:53,R_3UxonXE21dX0T5v,,,,,37.6752,-120.9465,anonymous,EN,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,Yes,Yes,Yes,Yes,,,Extremely likely,,5e59a9d107660f1b7626dec7
2023-02-22 13:26:40,2023-02-22 13:29:04,IP Address,104.59.53.127,100,144,True,2023-02-22 13:29:05,R_2WH012FMObq0w1N,,,,,36.1544,-96.0341,anonymous,EN,No,Yes,Yes,No,Undecided,Undecided,No,Undecided,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Somewhat likely,,,,63ed311251a96de717d81416
2023-02-22 13:28:44,2023-02-22 13:30:28,IP Address,130.126.255.28,100,104,True,2023-02-22 13:30:29,R_3kIeNmWvhBIFsrS,,,,,40.112,-88.2365,anonymous,EN,No,Yes,Undecided,No,Yes,No,Yes,Yes,No,Yes,Yes,Undecided,Yes,Yes,Undecided,Yes,No,Yes,,,,Neither likely nor unlikely,5eaef287fb863f5c922abad9
2023-02-22 13:31:04,2023-02-22 13:32:40,IP Address,70.115.183.227,100,96,True,2023-02-22 13:32:40,R_2fwF8dbEBIpjyOG,,,,,26.3942,-98.8104,anonymous,EN,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Somewhat unlikely,,,,63f519601c333d44a17bb35a
2023-02-22 13:32:17,2023-02-22 13:34:06,IP Address,38.22.150.74,100,109,True,2023-02-22 13:34:06,R_3itlwsvnXAMukC0,,,,,38.1051,-92.9188,anonymous,EN,Yes,No,No,Yes,No,No,Yes,Undecided,No,No,No,Undecided,No,Undecided,Yes,Undecided,Undecided,No,,,Somewhat likely,,603999f11e9e5e32453acbb1
2023-02-22 13:32:15,2023-02-22 13:34:13,IP Address,98.155.136.137,100,118,True,2023-02-22 13:34:14,R_2V8aQXBZsDoSeie,,,,,20.8959,-156.509,anonymous,EN,Yes,No,No,Yes,No,No,No,Undecided,Yes,No,No,Yes,No,No,No,No,Yes,No,,,,Neither likely nor unlikely,60fd3cd100cfd3da1b3b9e11
2023-02-22 13:24:53,2023-02-22 13:35:07,IP Address,172.56.88.23,100,614,True,2023-02-22 13:35:08,R_2zJcbvN2m4ttnlb,,,,,29.4032,-98.508,anonymous,EN,Undecided,Yes,Yes,Undecided,No,Yes,No,Undecided,Yes,No,Undecided,Yes,Yes,Yes,No,No,No,No,,Somewhat unlikely,,,5641ce9017bdbe000b2a0a3b
2023-02-22 13:35:30,2023-02-22 13:36:25,IP Address,69.244.211.211,100,55,True,2023-02-22 13:36:25,R_yKLWJozrJKPNNcJ,,,,,30.4908,-84.3158,anonymous,EN,Yes,Yes,Yes,Yes,Undecided,Undecided,Undecided,Yes,Yes,No,No,Yes,No,Undecided,Yes,No,Yes,No,,Somewhat likely,,,60fcbc6c0c05e2eb27be563c
2023-02-22 13:35:25,2023-02-22 13:36:29,IP Address,172.56.88.15,100,63,True,2023-02-22 13:36:29,R_247uxHBsonHc5WD,,,,,29.4032,-98.508,anonymous,EN,Undecided,Yes,Yes,No,Undecided,Yes,Undecided,Yes,Yes,No,Yes,No,Undecided,Yes,Undecided,Undecided,No,No,,Neither likely nor unlikely,,,56f873d73592c7000b04d6fe
2023-02-22 13:35:23,2023-02-22 13:36:30,IP Address,76.89.72.58,100,66,True,2023-02-22 13:36:30,R_2tlGguTLED1dBvM,,,,,34.2326,-118.5481,anonymous,EN,Yes,Yes,Yes,Yes,Yes,No,Undecided,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,,Somewhat likely,,,61061563506ce85595b3455a
2023-02-22 13:35:57,2023-02-22 13:37:25,IP Address,96.227.103.66,100,87,True,2023-02-22 13:37:26,R_12rR799muWWLw2W,,,,,39.9544,-75.1657,anonymous,EN,Undecided,Yes,Yes,Undecided,Yes,Yes,No,Yes,Yes,Yes,Undecided,Yes,Yes,Undecided,Yes,No,Yes,Undecided,Neither likely nor unlikely,,,,5c0496b940207800014b25d1
2023-02-22 13:36:14,2023-02-22 13:37:46,IP Address,208.64.158.251,100,92,True,2023-02-22 13:37:47,R_3PSTYrc91k0Pp8u,,,,,28.5156,-81.3574,anonymous,EN,Undecided,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Undecided,Yes,Undecided,Undecided,Undecided,Yes,Yes,Undecided,,,,Somewhat unlikely,5ecea3c7025e2b28bba8f2b3
2023-02-22 13:36:26,2023-02-22 13:37:56,IP Address,71.233.190.88,100,90,True,2023-02-22 13:37:57,R_3szwuRhwm206ZE3,,,,,42.415,-71.0527,anonymous,EN,Yes,Yes,Undecided,Yes,Undecided,Undecided,No,Yes,No,No,No,Yes,Undecided,Yes,Undecided,No,No,No,,,Extremely unlikely,,5a2d792729374e0001420491
2023-02-22 13:37:22,2023-02-22 13:38:06,IP Address,98.146.134.41,100,43,True,2023-02-22 13:38:06,R_3nvjDrXTCW7tKPI,,,,,47.7992,-116.7393,anonymous,EN,Yes,Yes,No,Undecided,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Somewhat likely,,,,6110ae99760901f60af9af27
2023-02-22 13:36:55,2023-02-22 13:38:14,IP Address,104.13.122.79,100,79,True,2023-02-22 13:38:15,R_1eKvbZkLHkTJvYc,,,,,32.8179,-96.6319,anonymous,EN,Undecided,Yes,No,Yes,No,No,No,Undecided,No,No,Undecided,No,No,Undecided,No,No,No,No,Somewhat unlikely,,,,63331d7bd9dcae2e49dff57e
2023-02-22 13:37:20,2023-02-22 13:38:19,IP Address,68.5.10.1,100,59,True,2023-02-22 13:38:20,R_1Iut9a1P3IPudB9,,,,,33.6564,-117.8245,anonymous,EN,Undecided,Yes,Yes,Yes,No,Undecided,Yes,Undecided,Yes,No,No,Yes,No,Undecided,Yes,No,Yes,No,,,Somewhat likely,,60ee94db81cb621683412b8a
2023-02-22 13:37:34,2023-02-22 13:38:28,IP Address,70.166.117.16,100,53,True,2023-02-22 13:38:29,R_1Lzgs2tR4GS3UPT,,,,,31.5402,-110.267,anonymous,EN,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,,,,Neither likely nor unlikely,62fba1d10ac0b6763b4fc4eb
2023-02-22 13:37:46,2023-02-22 13:38:47,IP Address,131.187.180.64,100,60,True,2023-02-22 13:38:47,R_2Bhd3UsJTin2cv8,,,,,41.1236,-83.1819,anonymous,EN,Yes,Undecided,Yes,No,No,No,No,Yes,Undecided,Undecided,No,Yes,No,No,No,No,Undecided,No,,,,Somewhat unlikely,6004f2c9a814f031f50a5562
2023-02-22 13:37:31,2023-02-22 13:38:49,IP Address,72.202.246.64,100,77,True,2023-02-22 13:38:49,R_3il5nJ7QrGFW8po,,,,,36.175,-115.1372,anonymous,EN,Yes,Yes,Yes,Yes,Undecided,Yes,No,Undecided,Yes,Yes,Undecided,Yes,No,Yes,Yes,Undecided,Yes,No,,Somewhat unlikely,,,5d1e48cb33a4d3001b08a320
2023-02-22 13:37:47,2023-02-22 13:38:54,IP Address,4.36.22.242,100,67,True,2023-02-22 13:38:55,R_TinDTbtSIlM9fK9,,,,,40.7503,-74.0014,anonymous,EN,No,Yes,Yes,Undecided,Yes,Yes,Undecided,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Undecided,Undecided,No,,,Somewhat likely,,5e274886bcb84f052bf6858f
2023-02-22 13:37:54,2023-02-22 13:39:14,IP Address,100.6.25.99,100,80,True,2023-02-22 13:39:14,R_1pL79Po7TDmRcwz,,,,,40.4049,-79.8188,anonymous,EN,Yes,No,Yes,Yes,No,No,Undecided,No,Yes,No,No,Yes,No,No,No,No,Yes,No,,,,Somewhat likely,5ca6046dbbb3040012c2ba7d
2023-02-22 13:37:27,2023-02-22 13:39:24,IP Address,38.99.125.4,100,116,True,2023-02-22 13:39:24,R_3lJNC28oFpzDaeb,,,,,33.8358,-117.9063,anonymous,EN,Undecided,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,,Somewhat likely,,,63b897693f2aff0ef38adbba
2023-02-22 13:38:06,2023-02-22 13:39:29,IP Address,63.155.47.238,100,83,True,2023-02-22 13:39:30,R_uqQtI7sHZ8KU36x,,,,,44.0683,-123.0763,anonymous,EN,Yes,Undecided,Yes,Yes,No,Undecided,No,No,Undecided,No,No,Yes,No,Yes,Yes,No,Yes,No,Extremely unlikely,,,,5fa0c5fd48882001b472ddf5
2023-02-22 13:38:37,2023-02-22 13:39:42,IP Address,76.130.52.76,100,64,True,2023-02-22 13:39:42,R_3OlGnNHWkdQpaEg,,,,,40.4102,-104.7584,anonymous,EN,Undecided,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Undecided,Undecided,Undecided,Yes,No,Undecided,No,Undecided,,,Somewhat unlikely,,5f084fffd931c103fbd4228a
2023-02-22 13:38:21,2023-02-22 13:39:50,IP Address,76.17.135.216,100,89,True,2023-02-22 13:39:51,R_2rvh0fOevP4QBw8,,,,,45.0196,-93.2402,anonymous,EN,No,Yes,No,No,Yes,Undecided,Yes,Undecided,No,Undecided,Yes,Yes,No,Yes,Yes,No,No,Yes,,,Somewhat unlikely,,5fa0270a0f22bc03bd0380ee
2023-02-22 13:38:46,2023-02-22 13:40:02,IP Address,172.74.77.251,100,76,True,2023-02-22 13:40:03,R_1eJKIky1tmhBk1N,,,,,35.6577,-78.3837,anonymous,EN,Yes,Undecided,Yes,Undecided,No,Yes,No,Yes,Yes,No,Undecided,No,Yes,Yes,Yes,No,No,No,,,,Somewhat likely,6312d110fc7b2e75f0e609a7
2023-02-22 13:39:32,2023-02-22 13:40:12,IP Address,75.15.156.156,100,39,True,2023-02-22 13:40:12,R_1d63QooNXSpAkDT,,,,,34.0915,-118.1307,anonymous,EN,Yes,Undecided,Yes,Yes,No,Undecided,Undecided,Undecided,Undecided,Undecided,No,Yes,No,Undecided,Yes,Undecided,Yes,Undecided,,,Somewhat unlikely,,5c5d47bec059db00014aeda2
2023-02-22 13:38:53,2023-02-22 13:40:16,IP Address,73.22.233.136,100,82,True,2023-02-22 13:40:17,R_SH5YzaVOZAfZb2h,,,,,42.0128,-88.0967,anonymous,EN,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,Undecided,Undecided,Somewhat unlikely,,,,63f4eb046bcf1fda92414a71
2023-02-22 13:39:14,2023-02-22 13:40:36,IP Address,107.213.216.161,100,82,True,2023-02-22 13:40:37,R_3iIjO8fU7mxHQ9X,,,,,25.7793,-80.2088,anonymous,EN,No,Yes,Yes,Yes,Undecided,Yes,Yes,Yes,Yes,Undecided,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Somewhat unlikely,,,,60fde6c129b3d76aa60ca418
2023-02-22 13:39:26,2023-02-22 13:40:45,IP Address,108.93.17.60,100,78,True,2023-02-22 13:40:45,R_2BaFk5c0SHzzRS3,,,,,29.9509,-90.1007,anonymous,EN,Undecided,Yes,Yes,No,Yes,Yes,Undecided,Yes,Yes,Undecided,Undecided,Yes,No,Yes,Yes,Yes,Yes,Yes,,Somewhat likely,,,60cab9dd5a974695b32eb2ab
2023-02-22 13:39:19,2023-02-22 13:40:46,IP Address,65.184.130.241,100,87,True,2023-02-22 13:40:47,R_27wgTXASFax4Hde,,,,,34.157,-77.9136,anonymous,EN,Yes,Yes,Yes,Yes,Yes,Yes,No,Undecided,Yes,Yes,No,Yes,No,Undecided,Yes,Undecided,Yes,Yes,,,,Somewhat unlikely,611c566a4412b71fd8fb5e20
2023-02-22 13:38:28,2023-02-22 13:40:54,IP Address,73.252.176.175,100,146,True,2023-02-22 13:40:55,R_338df2VltkjXdIP,,,,,37.3209,-121.9126,anonymous,EN,Yes,Undecided,Yes,No,No,Undecided,No,No,Undecided,No,No,Yes,No,Undecided,No,No,Undecided,No,,Neither likely nor unlikely,,,6110e96d5defddb4f3774be2
2023-02-22 13:39:54,2023-02-22 13:41:14,IP Address,64.47.134.80,100,80,True,2023-02-22 13:41:14,R_0e36vxJft1raDIZ,,,,,37.7045,-122.0742,anonymous,EN,Undecided,No,Yes,Yes,No,Yes,No,No,No,No,No,Yes,No,Undecided,Yes,No,Yes,No,Neither likely nor unlikely,,,,6160e0e3a8156e01fe3e95a6
2023-02-22 13:40:13,2023-02-22 13:41:20,IP Address,73.124.68.26,100,66,True,2023-02-22 13:41:21,R_2XczGQSNIgDfeiL,,,,,25.7689,-80.1946,anonymous,EN,Yes,Yes,Yes,Yes,Yes,No,No,Undecided,Yes,Undecided,Yes,No,No,Undecided,No,Undecided,Yes,Undecided,,,Somewhat likely,,5e039eccdc8535e95ebc60aa
2023-02-22 13:40:09,2023-02-22 13:41:22,IP Address,47.196.69.5,100,73,True,2023-02-22 13:41:23,R_10C9DDUIx3y7Mtx,,,,,27.9032,-82.2911,anonymous,EN,Yes,Yes,Undecided,Yes,Undecided,No,Yes,Yes,Undecided,Undecided,Undecided,Yes,No,Yes,No,Yes,Yes,No,,Neither likely nor unlikely,,,612d392b4ed3130794cc1eeb
2023-02-22 13:39:29,2023-02-22 13:41:33,IP Address,73.107.92.151,100,123,True,2023-02-22 13:41:33,R_3ijW3KUMGAAOEYx,,,,,26.2422,-81.8062,anonymous,EN,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,,,,Extremely unlikely,63f4734905f91d8c0582dc27
2023-02-22 13:39:49,2023-02-22 13:41:37,IP Address,71.185.183.252,100,108,True,2023-02-22 13:41:37,R_1ltuGqmCgzVwTh9,,,,,39.9357,-75.1832,anonymous,EN,No,Yes,Yes,Yes,No,Yes,Undecided,Yes,No,No,Undecided,Yes,No,Yes,Yes,Undecided,Yes,No,,,,Somewhat likely,5ee76ca2c78ea203bc5ce3d7
2023-02-22 13:40:06,2023-02-22 13:41:56,IP Address,166.205.147.57,100,109,True,2023-02-22 13:41:57,R_2fJT2QDHCIK5fKv,,,,,38.8078,-77.0523,anonymous,EN,Yes,Undecided,Yes,Yes,No,Yes,Undecided,No,Yes,Yes,Undecided,Yes,No,Yes,Yes,No,Yes,No,,Neither likely nor unlikely,,,5eb3dbb0f7d8d01c2ec6ffe3
2023-02-22 13:40:13,2023-02-22 13:42:02,IP Address,172.58.121.200,100,108,True,2023-02-22 13:42:02,R_C8Iy3Ga5bFYIYFz,,,,,40.0326,-82.8799,anonymous,EN,Yes,Undecided,Yes,Undecided,Yes,,Undecided,Undecided,No,Undecided,No,No,No,Undecided,Undecided,Undecided,Yes,Undecided,,,Neither likely nor unlikely,,5fea9f4983f6afa8281acf14
